,apple_id_account,apps_app_store,battery_charging,calls,device_settings_features,icloud_photos,ios_update,messages_imessage,other_unclear,performance_crash,purchases_billing,sim_cellular_network
apple_id_account,0,0,1,0,4,1,2,1,0,6,1,0
apps_app_store,0,1,1,0,7,1,1,1,0,18,2,4
battery_charging,0,0,3,0,5,1,0,1,0,12,2,1
calls,0,0,0,1,1,0,0,0,0,2,0,0
device_settings_features,0,0,1,0,6,0,0,0,0,4,1,0
icloud_photos,0,1,1,0,2,0,0,0,0,7,0,0
ios_update,1,1,2,0,3,0,0,0,0,11,2,1
messages_imessage,0,0,1,0,1,0,1,6,0,2,0,1
other_unclear,0,0,0,0,2,0,0,0,0,2,0,1
performance_crash,0,0,3,0,8,2,1,3,0,18,3,0
purchases_billing,0,0,0,0,1,0,0,0,0,0,7,0
sim_cellular_network,2,1,2,0,4,0,0,1,0,15,6,1
